dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
pjm/H/short,moirai_small,45.580806359812456,45.24054986434979,4.1724082964025575,0.7312538261136358,0.34048245074875627,0.1570118296236455,5.921407307319369,6.75135589047211,0.24244060737925904,0.14983082184153068,0.11948882900450587,Energy,1
fr/H/short,moirai_small,189.90485804377894,195.05707293465025,6.233796098839233,0.7310478830706407,0.25711499585091196,0.17802218841422937,5.903943054164712,13.78059715846084,0.36655213191129465,0.1658136598621134,0.13164613480422294,Energy,1
de/H/short,moirai_small,110.94590776940404,111.93866505203667,6.587425263373406,0.7834839449175337,1.8323763193460687,0.23722962312222945,6.538753608356542,10.533086336369035,0.32641601611135534,0.2041416012586178,0.16316033461240645,Energy,1
np/H/short,moirai_small,20.97134245476334,21.884740689503296,2.514065593481064,1.06625612395932,0.08028768732011209,0.07166235876566433,10.013880427181862,4.579447832955775,0.12541692786220152,0.06885248935676706,0.055654007624586325,Energy,1
